version,total_lines,comments,blanks,mapping,functions,payable,events,modifiers,contracts_definition,addresses,contracts,libraries,interfaces,contractAddress
0.4.21,62,0,21,3,6,0,0,0,1,10,1,0,0,0x6fa85aa3f44f296de1294e3c097872235215b822
version,total_lines,comments,blanks,mapping,functions,payable,events,modifiers,contracts_definition,addresses,contracts,libraries,interfaces,contractAddress
0.4.25,95,24,180,1,4,0,2,0,1,7,1,0,0,0x9e1ae1cae3e9609626753086d4859cddc33f1cc8
