total_lines,LOC,blanks,comments,rawVersion,version,addresses,assemblyStatement,block,contracts_definition,contracts,doWhileStatement,emitStatement,events,forStatement,functions,ifStatement,inlineAssemblyStatement,interfaces,libraries,mapping,modifiers,payable,public,pure,returnStatement,revertStatement,simpleStatement,throwStatement,tryStatement,view,isVirtual,isFallback,whileStatement,cyclomatic,abiLength,abiStringLength,bytecode,contractAddress
1347,566,173,139,^0.8.0,0.8.0,102,0,96,13,2,0,6,4,13,87,13,3,5,2,9,1,3,0,4,40,0,0,0,1,36,37,0,3,117,240,7785,18404,0x02ba6dadb8d42c32113c4812d952b6041d2aa547
1347,566,173,139,^0.8.0,0.8.0,102,0,96,13,2,0,6,4,13,87,13,3,5,2,9,1,3,0,4,40,0,0,0,1,36,37,0,3,117,240,7785,18404,0x0322F6f11A94CFB1b5B6E95E059d8DEB2bf17D6A
1348,566,174,139,^0.8.0,0.8.0,102,0,96,13,2,0,6,4,13,87,13,3,5,2,9,1,3,0,4,40,0,0,0,1,36,37,0,3,117,240,7785,18404,0x002dFA7fCeE0977f32617E2fCced85A2625c5BEd
1348,566,174,139,^0.8.0,0.8.0,102,0,96,13,2,0,6,4,13,87,13,3,5,2,9,1,3,0,4,40,0,0,0,1,36,37,0,3,117,240,7785,18404,0x021f6101ce0d4ba7947063b56cc878e92d16a6be
135,105,26,9,^0.4 .18,0.4.18,9,0,23,1,1,0,0,0,4,15,4,0,0,0,0,3,1,0,0,8,0,0,0,0,0,0,1,0,23,92,1722,2,0x013620bf5142f9d8487e92c1d514c38e1b086613
135,110,25,0,^0.4.24,0.4.24,27,0,17,6,5,0,7,3,2,20,2,0,0,1,3,0,0,0,4,14,0,0,0,0,6,0,0,0,24,124,3246,5008,0x03a76034b6b33011acea6eddbb0423b79540eed7
136,66,28,46,^0.4.4,0.4.4,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,94,2357,5134,0x0136d46ed3373ebc023c416c3dc6fbcd80b6da8b
136,72,29,30,^0.4.18,0.4.18,24,0,9,4,3,0,0,2,1,14,1,0,1,0,3,0,1,0,0,6,0,0,0,0,0,0,1,0,16,99,2568,3828,0x0156888f51d68f858ac88aba45df699e2af2e4cc
1367,493,186,168,^0.6.12,0.6.12,96,0,100,10,4,0,10,6,15,83,15,2,1,4,6,1,1,0,8,53,0,0,0,0,25,15,0,0,113,111,3989,8172,0x02DDbc11e2447108Dd983e60Fa0a7D5a7d7b563a
1367,841,168,299,NA,NA,120,0,93,11,10,0,9,18,14,79,14,12,0,1,19,13,3,0,14,30,0,0,0,0,20,0,0,0,107,522,12306,32236,0x013183d8e0a14a843aa3bc170a29f959d9614d28
1368,410,187,148,^0.6.0,0.6.0,91,0,90,9,3,0,7,5,10,82,10,2,1,3,5,1,1,0,8,52,0,0,0,0,25,23,0,0,102,191,7370,23050,0x0114622386c1a00686e594c70682d7aa0f8afa29
137,116,12,8,^0.4.14,0.4.14,24,0,22,7,6,0,0,2,5,22,5,0,0,1,3,2,0,0,0,10,0,0,4,0,0,0,0,0,32,98,2247,3906,0x010583963f3ae4929253975ebd6bab0066870828
137,116,13,6,^0.4.15,0.4.15,24,0,22,7,6,0,0,2,5,22,5,0,0,1,3,2,0,0,0,10,0,0,4,0,0,0,0,0,32,98,2247,3906,0x011d9dfb4681f2d2245bbb04edd6a9eedf361e5c
137,67,28,46,^0.4.15,0.4.15,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2718,8002,0x0260c78d494f0fefc7f42ebab710768feeebc017
137,67,28,46,^0.4.16,0.4.16,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2718,8510,0x038850ee1e07191d9180c24aaf9491cd5cbe65c3
137,67,28,46,^0.4.4,0.4.4,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2718,8002,0x03fda8d2b2cb20a72e1fa6ee87f7356153b7123c
137,67,28,46,^0.4.4,0.4.4,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2718,8010,0x01d9895bd853dc50ba4229c098b86f122dec5ceb
137,67,28,46,^0.4.4,0.4.4,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2718,8010,0x020a0030c9c40705de52f76774e0e4b817df7520
137,67,28,46,^0.4.4,0.4.4,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2718,8010,0x0266151c5b5ba83fb1d7abedd70da3736180f4a2
1371,493,181,179,^0.6.12,0.6.12,96,0,100,10,4,0,10,6,15,83,15,2,1,4,6,1,1,0,8,53,0,0,0,0,25,15,0,0,113,111,3989,8172,0x0264CF5Ab570b450B81bbbe65f2171796C730934
1373,532,206,125,>=0.6.0 <0.8.0,0.7.0,115,0,95,14,6,0,11,4,15,92,15,4,3,3,7,1,1,0,14,56,0,0,0,0,22,34,0,0,122,150,5425,13992,0x027ea05c0110126327E8EA5c14D39661b29141ac
1373,575,181,139,^0.8.0,0.8.0,105,0,97,13,2,0,6,4,15,87,15,3,5,2,9,1,5,0,4,41,0,0,0,1,37,37,0,3,121,240,7746,19854,0x01CA5EaCee0B25Ed8d074AeCB5e816e830C8f10c
1376,431,185,152,>=0.6.0 <0.8.0,0.7.0,78,0,89,15,4,0,5,5,20,88,20,7,3,5,0,1,5,0,28,65,0,0,0,0,19,16,1,0,128,79,2161,9440,0x0185cdc3c6c43c2015e8a6ce336ab672ed183492
1376,575,207,141,^0.8.7,0.8.7,112,0,99,13,2,0,6,4,11,87,11,3,5,2,10,3,5,0,4,38,0,0,0,1,35,36,0,3,113,261,8151,19780,0x027db5d422a898e342bc0af63fba8c5eeb437a8e
1377,562,213,139,^0.8.0,0.8.0,106,0,96,13,2,0,6,4,13,87,13,3,5,2,10,1,3,0,4,39,0,0,0,1,36,37,0,3,117,240,7879,18276,0x02fd03979d646cf1f9debb218aedf4b2908a9bfa
1378,1053,173,177,^0.4.11,0.4.11,21,0,169,4,4,0,0,1,74,128,74,6,0,0,3,9,12,0,0,133,0,0,4,0,0,0,1,8,284,342,6846,17270,0x0046f822ef4e6d51a40dd87d34ab1d5f088291a4
138,128,9,1,^0.4.25,0.4.25,11,0,21,4,4,0,0,0,4,15,4,0,0,0,1,2,0,0,0,10,0,0,0,0,7,0,0,1,24,64,1460,3788,0x03c4bcfef91a561bdd4ab809df3127d83746116c
138,74,15,15,^0.4.19,0.4.19,23,0,10,4,3,0,0,2,0,15,0,0,0,1,3,0,0,0,4,9,0,0,0,0,4,0,0,0,15,87,2205,3112,0x0396340f16bbec973280ab053efc3f208fa37795
1381,784,171,322,^0.4.24,0.4.24,26,0,78,5,2,0,5,5,44,42,44,1,0,3,9,3,2,0,12,39,0,0,0,0,10,0,1,1,131,250,8042,25364,0x0381e7c68a576403988336e8c6ad25409f883138
1383,1103,145,80,>=0.5.0 <0.6.0,0.5.0,18,0,213,7,5,0,2,2,76,125,76,15,0,2,2,2,7,0,32,134,0,0,0,0,3,0,0,4,281,47,1037,11990,0x0144417141881772e4b924c5408422dc251c3d12
139,106,33,0,^0.4.13,0.4.13,26,0,16,8,7,0,0,4,1,18,1,0,0,1,3,2,0,0,0,11,0,0,0,0,0,0,0,0,20,132,3192,4654,0x002c74b0cd9354ba5464db519cae76d7cfaa070a
139,67,28,46,^0.4.4,0.4.4,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2718,8010,0x0117761e3669cce27e5599d88e4355e027989a44
1391,866,145,115,^0.5.0,0.5.0,152,0,84,13,4,0,3,3,31,79,31,1,5,4,0,3,13,0,18,31,0,0,0,0,14,0,1,1,142,118,3208,23966,0x0286ab4c526c0f28ec31dbb08755c999f441a58f
1398,647,232,144,0.6.11,0.6.11,130,0,99,11,3,0,13,12,24,93,24,2,4,4,17,3,8,0,9,53,0,0,0,0,24,2,0,0,141,417,13123,39632,0x01de5bce5c5ee4f92e8f4183f6f4e4f12f9a86cd
140,114,24,2,^0.4.18,0.4.18,24,0,23,7,6,0,0,2,4,23,4,0,0,1,3,2,0,0,8,10,0,0,0,0,0,0,1,0,31,115,2643,3564,0x0132bfca599d0b5b12f9160f6c2c44e453e3c35a
140,135,5,0,^0.5.16,0.5.16,38,0,26,6,4,0,4,2,1,31,1,0,1,1,3,0,0,0,6,19,0,0,0,0,10,0,0,0,33,103,3431,5120,0x0026e8a1FFdA2034B201F515CeF594a6d737d555
140,135,5,0,^0.5.16,0.5.16,38,0,26,6,4,0,4,2,1,31,1,0,1,1,3,0,0,0,6,19,0,0,0,0,10,0,0,0,33,103,3431,5120,0x03e4bdce611104289333f35c8177558b04cc99ff
140,78,30,13,^0.6.12,0.6.12,13,0,12,4,2,0,1,1,1,13,1,0,1,1,0,1,0,0,4,5,0,0,0,0,1,0,0,0,15,75,2004,4910,0x033b97a7ccdacd11d4eaeb8c8eac398c82557b8d
1407,1116,172,114,^0.4.18,0.4.18,26,0,189,4,4,0,0,6,72,144,72,6,0,0,6,9,9,0,14,148,0,0,2,0,2,0,1,8,296,287,6544,2,0x033e698da77de33120c703e373f43525b10f8e68
1407,717,184,146,^0.4.24,0.4.24,112,0,91,23,19,0,14,9,12,82,12,1,1,3,11,8,0,0,4,41,0,0,0,0,19,0,0,0,106,79,1892,4444,0x019a52b63bacbbeea262018e0b2aeda5c6fbc848
141,106,35,1,^0.4.20,0.4.20,23,0,17,5,5,0,3,2,0,19,0,0,0,0,3,2,0,0,5,8,0,0,0,0,2,0,0,0,19,167,3989,5424,0x0235f547bcbc2a5259c5669271392bcd9871b679
141,108,22,11,^0.4.24,0.4.24,33,0,18,5,5,0,6,3,0,24,0,0,0,0,3,1,1,0,4,8,0,0,0,0,0,0,1,0,24,184,4564,11552,0x005f977f633d1c23748294671b0e69f3512e6702
141,95,28,20,^0.4.19,0.4.19,15,0,17,2,1,0,0,2,2,13,2,0,0,1,3,0,2,0,0,12,0,0,1,0,0,0,1,0,17,123,3040,3506,0x0279f2882d32f19661649535d802a8df9efd7d6f
142,51,28,37,0.6.5,0.6.5,9,0,6,3,1,0,0,0,2,8,2,0,2,0,0,0,0,0,2,3,0,0,0,0,6,0,0,0,12,18,545,3368,0x010c5322d78c88ca18282b0a072a8913648b3038
142,77,26,49,^0.4.23,0.4.23,23,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,1,0,0,8,0,0,1,0,0,0,1,0,20,131,3175,4904,0x01e799ebd5d11ddeea11e30466ce117b86726458
142,77,26,49,^0.4.24,0.4.24,23,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,1,0,0,8,0,0,1,0,0,0,1,0,20,131,3175,10048,0x036ba95116edf4f79d5c0da9639ed1f31b1ebcd9
142,77,26,49,^0.4.4,0.4.4,23,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,1,0,0,8,0,0,1,0,0,0,1,0,20,131,3175,10048,0x02a64460d4bc9cfd31137c778f3e62698696783e
142,77,26,49,^0.4.4,0.4.4,23,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,1,0,0,8,0,0,1,0,0,0,1,0,20,131,3175,10048,0x03b9532d3f440fdf9a2f67938b5ad2f578b678bf
142,77,26,49,^0.4.4,0.4.4,23,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,1,0,0,8,0,0,1,0,0,0,1,0,20,131,3175,4904,0x019e14e66c3c79e180d025f155a8a59d8a4ff66c
142,77,26,49,^0.4.4,0.4.4,23,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,1,0,0,8,0,0,1,0,0,0,1,0,20,131,3175,5000,0x01f6462bf3fc10876e1e3b707b352545308a38a7
142,77,26,49,^0.4.4,0.4.4,23,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,1,0,0,8,0,0,1,0,0,0,1,0,20,131,3175,9864,0x004904cb627fe62d46486c41a3d79f3cdf6b0460
142,77,26,49,^0.4.4,0.4.4,23,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,1,0,0,8,0,0,1,0,0,0,1,0,20,131,3175,9872,0x01d9e65c0de733546db1bff56f44d45065d94e17
142,77,27,40,^0.4.4,0.4.4,23,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,1,0,0,8,0,0,1,0,0,0,1,0,20,131,3175,10048,0x030d08267d14abde1f1baddd5b11eac6ce02342c
143,124,18,7,0.8.4,0.8.4,22,0,15,2,1,0,5,5,1,16,1,0,1,0,2,1,0,0,0,1,0,0,0,0,6,0,0,0,18,161,7212,12642,0x02f06a8b9d8ff8412e8d162a3c51b3bedf279923
143,91,30,15,^0.4.25,0.4.25,9,0,18,2,1,0,0,0,3,15,3,0,0,1,3,0,1,0,6,12,0,0,0,0,5,0,0,0,21,96,1915,3360,0x03b7945808bb97307f31a311f2c9d3fce3d49a1c
1435,465,178,147,^0.8.0,0.8.0,78,0,90,16,2,0,9,7,8,90,8,0,5,2,7,3,0,0,3,48,0,0,0,0,40,40,0,3,109,207,7442,26692,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c
1439,549,175,157,0.6.12,0.6.12,114,0,91,16,2,0,7,6,24,84,24,2,7,4,5,1,1,0,19,47,0,0,0,2,23,17,0,0,134,114,5124,18840,0x011535FD795fD28c749363E080662D62fBB456a7
144,77,23,12,0.4.19,0.4.19,3,0,17,3,2,0,0,1,1,14,1,0,0,1,1,1,0,0,0,10,0,0,0,0,0,0,0,1,17,61,1398,3954,0x036ae648ed4a16ff471849c8f2f033d87314ab46
144,79,26,49,^0.4.4,0.4.4,23,0,20,3,3,0,0,2,4,14,4,0,0,0,3,0,1,0,0,9,0,0,1,0,0,0,1,0,22,131,3175,9862,0x01e579be97433f861340268521a7a2ab9829082c
144,79,26,49,^0.4.4,0.4.4,23,0,20,3,3,0,0,2,4,14,4,0,0,0,3,0,1,0,0,9,0,0,1,0,0,0,1,0,22,131,3175,9870,0x01bd70a0cc118bca4c70624286488e8f3d78a10f
144,79,26,49,^0.4.4,0.4.4,23,0,20,3,3,0,0,2,4,14,4,0,0,0,3,0,1,0,0,9,0,0,1,0,0,0,1,0,22,131,3175,9870,0x01ec2fb34a6640acfb59861bbdf6aa65af18bd43
144,79,26,49,^0.4.4,0.4.4,23,0,20,3,3,0,0,2,4,14,4,0,0,0,3,0,1,0,0,9,0,0,1,0,0,0,1,0,22,131,3175,9870,0x0348023f108eb878750279c5525e4c91318b2bce
144,79,26,49,^0.4.4,0.4.4,23,0,20,3,3,0,0,2,4,14,4,0,0,0,3,0,1,0,0,9,0,0,1,0,0,0,1,0,22,131,3175,9870,0x0355e9f793acaf4c007e436b139dc10a965edc48
1447,573,207,161,^0.8.0,0.8.0,100,0,88,17,2,0,6,4,11,90,11,3,6,2,9,2,3,0,4,38,0,0,0,1,43,39,0,3,116,168,5939,16498,0x02F38388e5fc3df147Bd080766D5C6affBa831F8
1447,611,196,105,^0.8.0,0.8.0,121,0,96,14,3,0,15,10,11,76,11,2,5,2,6,4,1,0,5,30,0,0,0,2,25,30,0,3,103,175,7441,29258,0x02F51406f08329b70EF2d6930BC9987664fcf268
145,78,28,48,^0.4.4,0.4.4,23,0,20,3,3,0,0,2,4,14,4,0,0,0,3,0,1,0,0,9,0,0,1,0,0,0,1,0,22,131,3175,9870,0x03a7ec8d4712a31c46cf264a4aa7d37915b07d47
1455,620,205,149,^0.8.4,0.8.4,108,0,117,15,2,0,6,4,13,101,13,3,5,3,11,2,13,0,4,43,0,0,0,1,40,35,0,3,131,318,9972,42518,0x000e49c87d2874431567d38ff9548890ab39baac
1457,1126,172,128,0.4.24,0.4.24,23,0,159,8,4,0,0,0,72,135,72,15,2,2,2,6,8,0,30,135,0,0,0,0,4,0,1,4,283,57,1443,20714,0x0198e6bedf2563ea0071d9db4eeac153e75f99a7
1459,859,238,117,^0.4.23,0.4.23,165,0,122,19,17,0,29,23,9,106,9,11,0,2,12,17,0,0,14,57,0,0,0,0,29,0,0,0,124,121,3044,9544,0x0384b55dacd00f2aa740fe125a1ed5ebb01a5c6d
146,100,23,21,0.4.24,0.4.24,23,0,16,3,2,0,5,2,2,19,2,0,0,1,3,1,0,0,4,10,0,0,0,0,6,0,0,0,23,111,2716,4244,0x02aa19a0ece7c95d40e2d22990ac33e78b8e9238
146,100,23,21,0.4.24,0.4.24,23,0,16,3,2,0,5,2,2,19,2,0,0,1,3,1,0,0,4,10,0,0,0,0,6,0,0,0,23,111,2716,4244,0x03107da4908f4f8e4b60cf8def7c59ddf601adf1
146,100,23,21,0.4.24,0.4.24,23,0,16,3,2,0,5,2,2,19,2,0,0,1,3,1,0,0,4,10,0,0,0,0,6,0,0,0,23,111,2716,4248,0x01ce23b87ee17e2d130d9bac6cb67ea453fc2ce4
146,101,18,24,^0.4.7,0.4.7,8,0,21,1,1,0,0,0,9,10,9,0,0,0,0,2,1,0,0,4,0,0,5,0,0,0,1,0,28,112,2241,4636,0x011585ba96aa16b803e239defd807465073b883c
146,111,33,2,^0.4.25,0.4.25,33,0,24,4,4,0,5,5,4,21,4,0,0,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,29,140,3415,10494,0x03e2ce0c0b99998e6906b90ab6f9eac0defaff16
1464,933,214,215,^0.8.0,0.8.0,136,0,77,11,1,0,6,6,18,115,18,0,7,0,20,4,2,0,0,6,0,0,0,0,61,0,0,0,151,192,13212,45442,0x0246255d9e0d169D49Af0b88e291be7F35a85FA1
1466,641,230,141,^0.8.0,0.8.0,108,0,122,13,2,0,6,4,14,104,14,3,5,2,10,4,3,0,4,46,0,0,0,1,40,37,0,3,136,390,11873,47602,0x056c6F5b7995d46eE1A21E3125D47C4e9C5eBA71
147,70,26,26,^0.6.10,0.6.10,20,0,9,2,1,0,4,3,1,9,1,0,1,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,11,91,3690,8806,0x0009c715329F0e34c4484b6E8bf0a1a691ed81d1
1474,1023,313,91,^0.4.13,0.4.13,59,0,157,12,10,0,16,7,18,146,18,81,0,2,4,0,1,0,87,36,0,0,0,0,19,0,1,4,186,78,2091,5310,0x013f7a6b98010e85fd4c8887d30f48c409b5643d
1475,805,240,175,^0.5.0,0.5.0,219,0,82,26,9,0,4,5,14,167,14,1,13,4,1,5,8,0,22,31,0,0,0,0,45,0,0,0,195,396,9839,23412,0x01Fcb5Bc16e8d945bA276DCCFeE068231DA4cE33
1477,761,176,421,^0.5.9,0.5.9,89,0,69,12,6,0,1,3,23,55,23,14,2,4,0,0,3,0,18,31,0,0,0,0,23,0,1,0,101,25,1407,5864,0x02b7eca484ad960fca3f7709e0b2ac81eec3069c
148,102,27,21,NA,NA,15,0,20,2,1,0,0,2,2,16,2,0,0,1,3,1,2,0,0,10,0,0,2,0,0,0,1,0,20,163,3588,4998,0x01aa952c2aa0259198e403c10799557e9a6b1ec1
148,51,28,37,0.6.5,0.6.5,9,0,6,3,1,0,0,0,2,8,2,0,2,0,0,0,0,0,2,3,0,0,0,0,6,0,0,0,12,18,545,3294,0x02fedc22b6dee250adebedeb6a358e4bd04adec3
148,77,27,13,^0.4.18,0.4.18,12,0,13,3,2,0,0,4,1,11,1,0,0,1,1,1,1,0,4,5,0,0,0,0,0,0,0,0,13,97,1968,2810,0x028857f9e565d7e3e1d84b5f5736b53651c2778f
1482,962,291,130,0.4.24,0.4.24,120,0,184,21,16,0,21,15,40,141,40,1,4,1,13,7,23,0,15,87,0,0,0,0,50,0,2,0,221,219,5102,15232,0x000983ba1a675327f0940b56c2d49cd9c042dfbf
1488,571,195,157,^0.8.0,0.8.0,112,0,120,15,2,0,9,4,22,101,22,3,6,3,10,1,2,0,17,59,0,0,0,1,35,38,0,3,149,246,7910,41794,0x0065d76fb407965a650fa2c0f84bcb52acbc83e7
149,68,13,32,^0.4.19,0.4.19,16,0,9,2,1,0,0,2,1,9,1,0,1,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,11,111,2791,8410,0x02aa481223f81b30ae9ccd4845ebfc3d4f4be068
149,68,13,32,^0.4.19,0.4.19,16,0,9,2,1,0,0,2,1,9,1,0,1,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,11,111,2791,8410,0x035c8119a68a8f762fe2731fa190a5afcba653a3
1492,539,195,147,^0.6.0,0.6.0,86,0,90,14,6,0,8,6,8,82,8,4,2,3,6,2,5,0,10,57,0,0,0,0,31,18,0,0,98,190,7571,22146,0x01B0086a5bBB25FE081629C232950c7aff660E2d
1493,1248,162,105,^0.4.18,0.4.18,48,0,199,6,6,0,0,2,91,142,91,6,0,0,3,4,7,0,18,142,0,0,0,0,7,0,1,8,332,326,7268,37910,0x01805928b325078683818329526dab3f74865e10
150,103,28,21,^0.4.25,0.4.25,15,0,20,2,1,0,0,2,2,16,2,0,0,1,3,1,2,0,0,10,0,0,2,0,0,0,1,0,20,163,3588,4998,0x03410a55d072c79c586ff7b079a4de0359a45bd5
151,101,20,5,>=0.4.22 <0.6.0,0.5.0,18,0,17,2,1,0,5,2,0,16,0,0,0,1,3,1,0,0,4,15,0,0,0,0,7,0,0,0,16,103,2579,9140,0x0328f1bdc119ad1c42e10530c9ea3eacc892f352
151,69,14,32,^0.4.16,0.4.16,16,0,9,2,1,0,0,2,1,9,1,0,1,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,11,111,2791,5110,0x02b6700c0282a687d66f3e09723bed55f23d5b83
1513,780,272,190,^0.4.24,0.4.24,113,0,106,17,14,0,12,9,15,113,15,2,1,2,19,2,3,0,10,37,0,0,0,0,54,0,0,0,143,153,3569,11862,0x00685230359bdb9e16704e1d3918b553e9a015e2
152,67,13,34,^0.4.16,0.4.16,16,0,9,2,1,0,3,2,1,9,1,0,1,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,11,111,2791,4516,0x002036ed3d00736787a31a19b1e28f7a86c72672
1523,721,236,169,^0.4.24,0.4.24,112,0,121,24,20,0,20,15,2,118,2,0,1,3,5,7,4,0,5,47,0,0,0,0,38,0,1,0,122,237,5434,16238,0x01ad3c7da8364d3f73d8ba6deb88c2add26a7837
153,71,13,33,^0.4.16,0.4.16,16,0,9,2,1,0,3,2,1,9,1,0,1,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,11,111,2908,4516,0x03684715e3a614ec80d1b31b62987e0b25925999
153,71,13,33,^0.4.16,0.4.16,16,0,9,2,1,0,3,2,1,9,1,0,1,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,11,111,2908,8616,0x01a922de9af2c1158dd947ea5b794f0dd995c7df
153,71,13,33,^0.4.16,0.4.16,16,0,9,2,1,0,3,2,1,9,1,0,1,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,11,111,2908,8618,0x01d706ed109e2038ae3261e30a1ed1af207a9d2c
153,71,13,33,^0.4.24,0.4.24,16,0,9,2,1,0,3,2,1,9,1,0,1,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,11,111,2908,4376,0x03ab65aa0a900e4df97ed8f3b316a261cef5affc
153,71,13,33,^0.4.24,0.4.24,16,0,9,2,1,0,3,2,1,9,1,0,1,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,11,111,2908,4476,0x01788f22bc0b685eed38a39df43b1ed5e4cb72aa
1530,550,214,181,^0.8.0,0.8.0,102,0,112,15,2,0,8,4,17,96,17,3,5,3,9,2,2,0,17,56,0,0,0,1,34,35,0,3,134,222,7023,18110,0x015b192a652129f6ea8c03dddb030297cf721af2
154,121,23,2,>=0.5.17,0.5.17,39,0,20,6,5,0,6,3,1,26,1,0,0,1,3,1,3,0,4,7,0,0,0,0,6,0,2,0,28,155,4577,12470,0x022a11c4b82eb03788cba69fca7c7ab3cfd5a313
154,132,22,4,NA,NA,14,0,24,1,1,0,0,2,6,17,6,0,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,29,170,3844,8426,0x03df4c372a29376d2c8df33a1b5f001cd8d68b0e
155,81,31,48,^0.4.25,0.4.25,24,0,11,3,2,0,3,2,0,17,0,0,0,1,3,0,0,0,4,10,0,0,0,0,6,0,0,0,17,95,2376,7818,0x0228528581c01a303d59d8cf6b72bd5a5d219458
1552,1193,156,373,^0.4.20,0.4.20,50,0,179,10,7,0,0,6,84,141,84,15,0,3,6,4,9,0,34,132,0,0,0,0,1,0,1,5,314,213,4896,44208,0x00195777bed7025e78819156281192c85fb3cf9b
156,101,30,12,^0.5.2,0.5.2,17,0,20,3,2,0,3,2,3,14,3,0,0,1,3,1,0,0,5,13,0,0,0,0,2,0,0,0,20,119,2912,8964,0x01980fd032c7da054c8c7089e774430e4bad0e58
156,90,37,9,^0.4.19,0.4.19,30,0,14,4,3,0,4,5,0,18,0,0,0,1,3,1,0,0,4,10,0,0,0,0,0,0,0,0,18,124,3050,4754,0x056dd20b01799e9c1952c7c9a5ff4409a6110085
157,88,28,27,^0.4.18,0.4.18,8,0,15,3,2,0,0,1,6,12,6,0,0,1,0,0,2,0,0,6,0,0,6,0,0,0,1,0,24,110,2265,2872,0x02a89330e27675bf50bb32833e4e430056aef504
157,93,29,8,^0.4.25,0.4.25,23,0,13,6,5,0,4,2,0,18,0,0,0,1,3,0,0,0,7,12,0,0,0,0,0,0,0,0,18,95,2359,3386,0x038500ff8e3829efe09bbc91abdc1e10104e92cd
157,95,22,32,NA,NA,27,0,20,4,4,0,0,2,3,19,3,0,0,0,3,1,0,0,0,10,0,0,0,0,0,0,0,0,25,175,3916,9132,0x027971a9609345ba6f2fa5b0f671cceba5d6ea54
1575,858,164,129,^0.6.12,0.6.12,188,0,81,15,3,0,7,3,13,117,13,2,8,3,3,2,14,0,8,37,0,0,0,0,34,15,1,0,143,131,5831,18978,0x05658c300e01aac3d8cf937a0a0cb56463bb80b0
158,121,26,2,>=0.5.17,0.5.17,39,0,20,6,5,0,6,3,1,26,1,0,0,1,3,1,3,0,4,7,0,0,0,0,6,0,2,0,28,155,4577,12470,0x001e1bd03e2cb28a4958db5b71b4caaa381a59f1
158,74,14,34,^0.4.16,0.4.16,18,0,9,2,1,0,0,3,1,9,1,0,1,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,11,119,3204,6316,0x01b90ee8249afdf628f738af4a2a8ffd7b8434ed
158,74,33,32,^0.4.0,0.4.0,21,0,21,4,4,0,0,2,3,17,3,0,0,0,3,0,0,0,0,11,0,0,1,0,0,0,0,0,23,95,2392,5900,0x0042d589023cfd5a979388f5be6e4abf532ab9af
1582,589,220,158,0.6.12,0.6.12,118,0,97,11,1,0,11,13,21,135,21,3,6,3,0,6,3,0,10,38,0,0,0,0,58,13,0,0,177,353,10065,31906,0x0265ED0ffcB845EEc463bC1aD6fB412Cce6b9aE9
1589,663,219,172,^0.8.0,0.8.0,101,0,99,17,2,0,6,4,13,97,13,3,6,2,9,2,5,0,4,41,0,0,0,1,46,40,0,3,127,252,7866,23484,0x03c4cfFB0031FB7144B85B36cD1D6fbd3618329F
160,76,14,34,>=0.4.22 <0.6.0,0.5.0,20,0,9,2,1,0,4,3,1,9,1,0,1,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,11,116,3157,9306,0x021623bd4de2105dea2fb94453a0bd8c031398b4
160,76,36,16,^0.4.18,0.4.18,13,0,13,3,2,0,0,1,2,11,2,0,0,1,3,1,0,0,4,9,0,0,0,0,1,0,0,0,15,90,1925,3286,0x0356e14c2f8de339131c668c1747def594467a9a
